ticker,fecha,hora_et,direccion,estrategia
AAPL,2022-06-06,15:15,PUT,TR-UD-15m intradia
AAPL,2022-06-17,12:15,CALL,TR-UD-15m intradia
AAPL,2022-06-23,10:00,CALL,TR-UD-15m intradia
AAPL,2022-07-05,10:00,CALL,TR-UD-15m intradia
AAPL,2022-07-12,10:15,CALL,TR-UD-15m intradia
AAPL,2022-07-14,11:15,CALL,TR-UD-15m intradia
AAPL,2022-07-19,13:00,CALL,TR-UD-15m intradia
AAPL,2022-08-03,09:45,CALL,TR-UD-15m intradia
AAPL,2022-08-04,13:15,CALL,TR-UD-15m intradia
AAPL,2022-08-08,15:00,CALL,TR-UD-15m intradia
AAPL,2022-08-09,13:45,PUT,TR-UD-15m intradia
AAPL,2022-08-09,15:45,PUT,TR-UD-15m intradia
AAPL,2022-08-11,15:30,CALL,TR-UD-15m intradia
AAPL,2022-08-23,15:45,PUT,TR-UD-15m intradia
AAPL,2022-08-24,14:45,PUT,TR-UD-15m intradia
AAPL,2022-08-24,15:15,CALL,TR-UD-15m intradia
AAPL,2022-08-31,13:30,PUT,TR-UD-15m intradia
AAPL,2022-09-02,15:45,PUT,TR-UD-15m intradia
AAPL,2022-09-07,09:45,CALL,TR-UD-15m intradia
AAPL,2022-09-08,10:15,PUT,TR-UD-15m intradia
AAPL,2022-09-14,15:30,PUT,TR-UD-15m intradia
AAPL,2022-09-19,10:00,CALL,TR-UD-15m intradia
AAPL,2022-09-21,14:45,CALL,TR-UD-15m intradia
AAPL,2022-09-27,12:15,PUT,TR-UD-15m intradia
AAPL,2022-10-03,12:45,CALL,TR-UD-15m intradia
AAPL,2022-10-11,09:45,PUT,TR-UD-15m intradia
AAPL,2022-10-11,12:45,CALL,TR-UD-15m intradia
AAPL,2022-10-12,12:30,PUT,TR-UD-15m intradia
AAPL,2022-10-12,14:30,PUT,TR-UD-15m intradia
AAPL,2022-10-13,11:30,CALL,TR-UD-15m intradia
AAPL,2022-10-31,14:30,CALL,TR-UD-15m intradia
AAPL,2022-11-09,10:00,PUT,TR-UD-15m intradia
AAPL,2022-11-17,11:30,CALL,TR-UD-15m intradia
AAPL,2022-12-05,12:00,PUT,TR-UD-15m intradia
AAPL,2022-12-05,14:00,PUT,TR-UD-15m intradia
AAPL,2022-12-09,09:45,PUT,TR-UD-15m intradia
AAPL,2022-12-09,10:45,CALL,TR-UD-15m intradia
AAPL,2022-12-20,14:00,PUT,TR-UD-15m intradia
AAPL,2022-12-23,13:15,PUT,TR-UD-15m intradia
AAPL,2022-12-28,10:00,PUT,TR-UD-15m intradia
AAPL,2022-12-29,11:00,CALL,TR-UD-15m intradia
AAPL,2023-01-04,15:45,PUT,TR-UD-15m intradia
AAPL,2023-01-05,12:45,PUT,TR-UD-15m intradia
AAPL,2023-01-06,11:30,CALL,TR-UD-15m intradia
AAPL,2023-01-20,09:45,PUT,TR-UD-15m intradia
AAPL,2023-01-24,13:30,CALL,TR-UD-15m intradia
AAPL,2023-01-25,15:00,CALL,TR-UD-15m intradia
AAPL,2023-01-31,15:30,PUT,TR-UD-15m intradia
AAPL,2023-02-01,12:00,PUT,TR-UD-15m intradia
AAPL,2023-02-07,09:45,CALL,TR-UD-15m intradia
AAPL,2023-02-08,12:15,PUT,TR-UD-15m intradia
AAPL,2023-02-16,09:45,PUT,TR-UD-15m intradia
AAPL,2023-02-23,10:45,PUT,TR-UD-15m intradia
AAPL,2023-02-28,12:30,CALL,TR-UD-15m intradia
AAPL,2023-02-28,15:30,PUT,TR-UD-15m intradia
AAPL,2023-03-08,15:15,PUT,TR-UD-15m intradia
AAPL,2023-03-08,15:45,CALL,TR-UD-15m intradia
AAPL,2023-03-20,10:45,CALL,TR-UD-15m intradia
AAPL,2023-04-12,10:15,CALL,TR-UD-15m intradia
AAPL,2023-04-14,14:00,CALL,TR-UD-15m intradia
AAPL,2023-04-17,10:15,PUT,TR-UD-15m intradia
AAPL,2023-04-19,09:45,PUT,TR-UD-15m intradia
AAPL,2023-04-19,10:30,CALL,TR-UD-15m intradia
AAPL,2023-04-26,15:45,PUT,TR-UD-15m intradia
AAPL,2023-05-03,10:45,CALL,TR-UD-15m intradia
AAPL,2023-05-08,13:45,CALL,TR-UD-15m intradia
AAPL,2023-05-09,12:00,PUT,TR-UD-15m intradia
