ticker,fecha,hora_et,direccion,estrategia
AMZN,2022-06-17,12:15,CALL,TR-UD-15m intradia
AMZN,2022-06-27,12:30,PUT,TR-UD-15m intradia
AMZN,2022-06-29,14:45,PUT,TR-UD-15m intradia
AMZN,2022-07-05,09:45,PUT,TR-UD-15m intradia
AMZN,2022-07-13,11:15,CALL,TR-UD-15m intradia
AMZN,2022-07-13,13:15,CALL,TR-UD-15m intradia
AMZN,2022-07-14,13:30,CALL,TR-UD-15m intradia
AMZN,2022-07-19,11:00,CALL,TR-UD-15m intradia
AMZN,2022-07-22,13:30,PUT,TR-UD-15m intradia
AMZN,2022-07-27,11:30,CALL,TR-UD-15m intradia
AMZN,2022-07-28,09:45,PUT,TR-UD-15m intradia
AMZN,2022-08-02,10:00,CALL,TR-UD-15m intradia
AMZN,2022-08-02,12:00,CALL,TR-UD-15m intradia
AMZN,2022-08-03,09:45,CALL,TR-UD-15m intradia
AMZN,2022-08-08,12:15,PUT,TR-UD-15m intradia
AMZN,2022-08-11,11:15,PUT,TR-UD-15m intradia
AMZN,2022-08-18,13:30,CALL,TR-UD-15m intradia
AMZN,2022-08-18,15:45,CALL,TR-UD-15m intradia
AMZN,2022-08-24,10:15,PUT,TR-UD-15m intradia
AMZN,2022-08-24,11:30,CALL,TR-UD-15m intradia
AMZN,2022-08-24,15:15,CALL,TR-UD-15m intradia
AMZN,2022-08-30,09:45,CALL,TR-UD-15m intradia
AMZN,2022-08-31,14:45,PUT,TR-UD-15m intradia
AMZN,2022-09-08,14:45,CALL,TR-UD-15m intradia
AMZN,2022-09-15,12:15,PUT,TR-UD-15m intradia
AMZN,2022-09-20,09:45,PUT,TR-UD-15m intradia
AMZN,2022-09-20,10:00,CALL,TR-UD-15m intradia
AMZN,2022-09-20,12:45,PUT,TR-UD-15m intradia
AMZN,2022-09-21,14:45,CALL,TR-UD-15m intradia
AMZN,2022-09-27,11:30,PUT,TR-UD-15m intradia
AMZN,2022-10-03,13:30,CALL,TR-UD-15m intradia
AMZN,2022-10-12,10:45,PUT,TR-UD-15m intradia
AMZN,2022-10-12,13:15,CALL,TR-UD-15m intradia
AMZN,2022-10-14,09:45,CALL,TR-UD-15m intradia
AMZN,2022-10-17,11:45,CALL,TR-UD-15m intradia
