ticker,fecha,hora_et,direccion,estrategia
GOOG,2022-06-07,15:45,PUT,TR-UD-15m intradia
GOOG,2022-06-09,10:45,CALL,TR-UD-15m intradia
GOOG,2022-06-09,13:30,PUT,TR-UD-15m intradia
GOOG,2022-06-16,11:30,PUT,TR-UD-15m intradia
GOOG,2022-06-23,15:45,CALL,TR-UD-15m intradia
GOOG,2022-06-27,15:00,CALL,TR-UD-15m intradia
GOOG,2022-07-18,13:15,PUT,TR-UD-15m intradia
GOOG,2022-07-21,14:15,CALL,TR-UD-15m intradia
GOOG,2022-07-25,14:00,PUT,TR-UD-15m intradia
GOOG,2022-08-02,12:00,CALL,TR-UD-15m intradia
GOOG,2022-08-04,15:00,CALL,TR-UD-15m intradia
GOOG,2022-08-12,12:00,PUT,TR-UD-15m intradia
GOOG,2022-08-12,12:30,CALL,TR-UD-15m intradia
GOOG,2022-08-16,14:45,PUT,TR-UD-15m intradia
GOOG,2022-08-18,11:30,CALL,TR-UD-15m intradia
GOOG,2022-08-18,15:30,CALL,TR-UD-15m intradia
GOOG,2022-08-23,10:15,CALL,TR-UD-15m intradia
GOOG,2022-08-23,15:45,PUT,TR-UD-15m intradia
GOOG,2022-08-24,11:00,CALL,TR-UD-15m intradia
GOOG,2022-08-24,14:45,PUT,TR-UD-15m intradia
GOOG,2022-08-26,09:45,PUT,TR-UD-15m intradia
GOOG,2022-08-31,14:45,PUT,TR-UD-15m intradia
GOOG,2022-08-31,15:45,CALL,TR-UD-15m intradia
GOOG,2022-09-12,15:15,CALL,TR-UD-15m intradia
GOOG,2022-09-19,11:45,PUT,TR-UD-15m intradia
GOOG,2022-09-19,13:15,CALL,TR-UD-15m intradia
GOOG,2022-09-20,09:45,PUT,TR-UD-15m intradia
GOOG,2022-09-26,12:30,PUT,TR-UD-15m intradia
GOOG,2022-09-27,12:00,PUT,TR-UD-15m intradia
GOOG,2022-10-03,13:15,CALL,TR-UD-15m intradia
GOOG,2022-10-05,14:30,CALL,TR-UD-15m intradia
GOOG,2022-10-11,11:45,CALL,TR-UD-15m intradia
GOOG,2022-10-12,12:15,PUT,TR-UD-15m intradia
GOOG,2022-10-13,11:30,CALL,TR-UD-15m intradia
GOOG,2022-10-13,15:00,CALL,TR-UD-15m intradia
GOOG,2022-10-14,12:00,PUT,TR-UD-15m intradia
GOOG,2022-10-18,15:30,CALL,TR-UD-15m intradia
GOOG,2022-10-31,13:30,CALL,TR-UD-15m intradia
GOOG,2022-10-31,15:45,CALL,TR-UD-15m intradia
GOOG,2022-11-04,14:00,CALL,TR-UD-15m intradia
GOOG,2022-11-09,11:00,PUT,TR-UD-15m intradia
GOOG,2022-11-09,13:15,PUT,TR-UD-15m intradia
GOOG,2022-11-16,11:15,CALL,TR-UD-15m intradia
GOOG,2022-11-17,13:00,CALL,TR-UD-15m intradia
GOOG,2022-11-18,11:45,PUT,TR-UD-15m intradia
GOOG,2022-11-25,11:30,PUT,TR-UD-15m intradia
GOOG,2022-11-30,09:45,CALL,TR-UD-15m intradia
GOOG,2022-11-30,12:00,CALL,TR-UD-15m intradia
GOOG,2022-12-05,14:45,PUT,TR-UD-15m intradia
GOOG,2022-12-20,15:15,PUT,TR-UD-15m intradia
GOOG,2022-12-21,10:15,CALL,TR-UD-15m intradia
GOOG,2023-01-06,14:15,CALL,TR-UD-15m intradia
GOOG,2023-01-17,13:45,CALL,TR-UD-15m intradia
GOOG,2023-01-18,13:15,PUT,TR-UD-15m intradia
GOOG,2023-02-10,14:45,PUT,TR-UD-15m intradia
GOOG,2023-02-13,14:30,PUT,TR-UD-15m intradia
GOOG,2023-02-22,15:45,PUT,TR-UD-15m intradia
GOOG,2023-02-28,10:45,CALL,TR-UD-15m intradia
GOOG,2023-03-01,12:45,CALL,TR-UD-15m intradia
GOOG,2023-03-02,09:45,PUT,TR-UD-15m intradia
GOOG,2023-03-02,12:45,CALL,TR-UD-15m intradia
GOOG,2023-03-13,11:30,CALL,TR-UD-15m intradia
GOOG,2023-03-15,10:45,PUT,TR-UD-15m intradia
GOOG,2023-03-20,11:30,CALL,TR-UD-15m intradia
GOOG,2023-03-20,13:30,PUT,TR-UD-15m intradia
GOOG,2023-03-20,15:30,PUT,TR-UD-15m intradia
GOOG,2023-03-23,12:30,CALL,TR-UD-15m intradia
GOOG,2023-03-24,11:15,PUT,TR-UD-15m intradia
GOOG,2023-04-03,14:45,CALL,TR-UD-15m intradia
GOOG,2023-04-05,10:30,PUT,TR-UD-15m intradia
GOOG,2023-04-10,10:15,PUT,TR-UD-15m intradia
GOOG,2023-04-10,12:15,PUT,TR-UD-15m intradia
GOOG,2023-04-12,09:45,CALL,TR-UD-15m intradia
GOOG,2023-04-18,13:15,PUT,TR-UD-15m intradia
GOOG,2023-04-21,11:45,CALL,TR-UD-15m intradia
GOOG,2023-04-21,13:15,PUT,TR-UD-15m intradia
GOOG,2023-04-21,15:15,PUT,TR-UD-15m intradia
GOOG,2023-04-24,12:45,CALL,TR-UD-15m intradia
GOOG,2023-04-25,10:00,PUT,TR-UD-15m intradia
GOOG,2023-04-26,10:00,CALL,TR-UD-15m intradia
GOOG,2023-05-05,12:45,CALL,TR-UD-15m intradia
GOOG,2023-05-15,10:15,PUT,TR-UD-15m intradia
GOOG,2023-05-15,14:45,PUT,TR-UD-15m intradia
GOOG,2023-05-16,09:45,CALL,TR-UD-15m intradia
GOOG,2023-05-26,12:15,CALL,TR-UD-15m intradia
GOOG,2023-05-30,13:00,CALL,TR-UD-15m intradia
GOOG,2023-06-01,11:45,PUT,TR-UD-15m intradia
GOOG,2023-06-01,15:30,PUT,TR-UD-15m intradia
GOOG,2023-06-23,14:30,CALL,TR-UD-15m intradia
GOOG,2023-06-26,10:15,PUT,TR-UD-15m intradia
GOOG,2023-07-17,11:45,PUT,TR-UD-15m intradia
GOOG,2023-07-19,09:45,CALL,TR-UD-15m intradia
GOOG,2023-07-19,11:00,PUT,TR-UD-15m intradia
GOOG,2023-07-20,09:45,CALL,TR-UD-15m intradia
GOOG,2023-07-21,15:15,PUT,TR-UD-15m intradia
GOOG,2023-07-25,10:15,PUT,TR-UD-15m intradia
GOOG,2023-07-28,10:45,CALL,TR-UD-15m intradia
GOOG,2023-08-01,09:45,PUT,TR-UD-15m intradia
GOOG,2023-08-01,13:45,PUT,TR-UD-15m intradia
GOOG,2023-08-07,10:15,CALL,TR-UD-15m intradia
GOOG,2023-08-08,15:00,CALL,TR-UD-15m intradia
GOOG,2023-08-10,09:45,CALL,TR-UD-15m intradia
GOOG,2023-08-10,13:45,PUT,TR-UD-15m intradia
GOOG,2023-08-15,10:45,PUT,TR-UD-15m intradia
GOOG,2023-08-22,09:45,CALL,TR-UD-15m intradia
GOOG,2023-08-30,14:30,CALL,TR-UD-15m intradia
GOOG,2023-09-01,12:45,PUT,TR-UD-15m intradia
GOOG,2023-09-11,15:45,CALL,TR-UD-15m intradia
GOOG,2023-09-19,12:00,PUT,TR-UD-15m intradia
GOOG,2023-09-19,15:45,CALL,TR-UD-15m intradia
GOOG,2023-09-27,12:30,CALL,TR-UD-15m intradia
GOOG,2023-10-05,13:45,CALL,TR-UD-15m intradia
GOOG,2023-10-06,09:45,CALL,TR-UD-15m intradia
GOOG,2023-10-12,12:30,CALL,TR-UD-15m intradia
GOOG,2023-10-17,12:15,CALL,TR-UD-15m intradia
GOOG,2023-10-19,10:00,CALL,TR-UD-15m intradia
GOOG,2023-10-27,13:15,PUT,TR-UD-15m intradia
GOOG,2023-11-08,11:45,CALL,TR-UD-15m intradia
GOOG,2023-11-09,13:15,PUT,TR-UD-15m intradia
GOOG,2023-11-13,14:15,CALL,TR-UD-15m intradia
GOOG,2023-11-15,12:45,PUT,TR-UD-15m intradia
GOOG,2023-11-15,15:45,CALL,TR-UD-15m intradia
GOOG,2023-11-21,13:45,CALL,TR-UD-15m intradia
GOOG,2023-11-29,10:30,PUT,TR-UD-15m intradia
GOOG,2023-12-06,15:00,CALL,TR-UD-15m intradia
GOOG,2023-12-08,11:45,PUT,TR-UD-15m intradia
GOOG,2023-12-12,14:30,PUT,TR-UD-15m intradia
GOOG,2023-12-13,09:45,CALL,TR-UD-15m intradia
GOOG,2023-12-13,11:45,PUT,TR-UD-15m intradia
GOOG,2023-12-19,13:15,CALL,TR-UD-15m intradia
GOOG,2023-12-21,13:30,CALL,TR-UD-15m intradia
GOOG,2023-12-26,14:15,PUT,TR-UD-15m intradia
GOOG,2023-12-27,09:45,PUT,TR-UD-15m intradia
GOOG,2023-12-28,15:00,PUT,TR-UD-15m intradia
GOOG,2024-01-04,12:00,PUT,TR-UD-15m intradia
GOOG,2024-01-12,11:45,PUT,TR-UD-15m intradia
GOOG,2024-01-23,12:45,PUT,TR-UD-15m intradia
GOOG,2024-01-26,15:15,CALL,TR-UD-15m intradia
GOOG,2024-01-30,15:15,PUT,TR-UD-15m intradia
GOOG,2024-02-01,13:45,PUT,TR-UD-15m intradia
GOOG,2024-02-02,15:15,PUT,TR-UD-15m intradia
GOOG,2024-02-07,12:15,CALL,TR-UD-15m intradia
GOOG,2024-02-12,12:15,CALL,TR-UD-15m intradia
GOOG,2024-02-16,12:45,PUT,TR-UD-15m intradia
GOOG,2024-02-20,13:15,PUT,TR-UD-15m intradia
GOOG,2024-02-21,10:00,CALL,TR-UD-15m intradia
GOOG,2024-02-23,11:15,PUT,TR-UD-15m intradia
GOOG,2024-02-23,14:00,CALL,TR-UD-15m intradia
GOOG,2024-02-23,14:15,PUT,TR-UD-15m intradia
GOOG,2024-03-01,10:45,PUT,TR-UD-15m intradia
GOOG,2024-03-11,09:45,CALL,TR-UD-15m intradia
GOOG,2024-03-12,13:15,CALL,TR-UD-15m intradia
GOOG,2024-03-19,10:15,PUT,TR-UD-15m intradia
GOOG,2024-03-21,13:30,PUT,TR-UD-15m intradia
GOOG,2024-04-03,09:45,PUT,TR-UD-15m intradia
GOOG,2024-04-03,12:15,CALL,TR-UD-15m intradia
GOOG,2024-04-12,13:15,PUT,TR-UD-15m intradia
GOOG,2024-04-15,12:30,PUT,TR-UD-15m intradia
GOOG,2024-04-18,12:45,CALL,TR-UD-15m intradia
GOOG,2024-04-29,11:00,PUT,TR-UD-15m intradia
GOOG,2024-05-02,12:30,CALL,TR-UD-15m intradia
GOOG,2024-05-08,12:45,PUT,TR-UD-15m intradia
GOOG,2024-05-09,13:45,PUT,TR-UD-15m intradia
GOOG,2024-05-10,13:15,PUT,TR-UD-15m intradia
GOOG,2024-05-13,15:45,CALL,TR-UD-15m intradia
GOOG,2024-05-21,09:45,PUT,TR-UD-15m intradia
GOOG,2024-05-21,15:15,CALL,TR-UD-15m intradia
GOOG,2024-05-29,13:00,CALL,TR-UD-15m intradia
GOOG,2024-06-04,12:15,PUT,TR-UD-15m intradia
GOOG,2024-06-07,12:00,CALL,TR-UD-15m intradia
GOOG,2024-06-14,10:00,CALL,TR-UD-15m intradia
GOOG,2024-06-14,14:45,CALL,TR-UD-15m intradia
GOOG,2024-06-17,13:00,CALL,TR-UD-15m intradia
GOOG,2024-06-18,10:00,PUT,TR-UD-15m intradia
GOOG,2024-06-28,12:30,PUT,TR-UD-15m intradia
GOOG,2024-07-02,09:45,PUT,TR-UD-15m intradia
GOOG,2024-07-02,10:45,CALL,TR-UD-15m intradia
GOOG,2024-07-09,12:45,PUT,TR-UD-15m intradia
GOOG,2024-07-09,13:45,CALL,TR-UD-15m intradia
GOOG,2024-07-09,15:45,PUT,TR-UD-15m intradia
GOOG,2024-07-10,13:15,CALL,TR-UD-15m intradia
GOOG,2024-07-11,09:45,PUT,TR-UD-15m intradia
GOOG,2024-07-16,10:15,PUT,TR-UD-15m intradia
GOOG,2024-07-19,12:45,PUT,TR-UD-15m intradia
GOOG,2024-07-19,14:45,PUT,TR-UD-15m intradia
GOOG,2024-07-23,14:00,CALL,TR-UD-15m intradia
GOOG,2024-07-30,15:30,CALL,TR-UD-15m intradia
GOOG,2024-08-01,12:00,PUT,TR-UD-15m intradia
GOOG,2024-08-06,14:30,CALL,TR-UD-15m intradia
GOOG,2024-08-13,13:30,CALL,TR-UD-15m intradia
GOOG,2024-08-15,11:45,CALL,TR-UD-15m intradia
GOOG,2024-08-26,14:30,CALL,TR-UD-15m intradia
GOOG,2024-08-27,10:15,PUT,TR-UD-15m intradia
GOOG,2024-08-27,11:00,CALL,TR-UD-15m intradia
GOOG,2024-08-27,14:30,PUT,TR-UD-15m intradia
GOOG,2024-08-30,15:45,PUT,TR-UD-15m intradia
GOOG,2024-09-10,15:45,PUT,TR-UD-15m intradia
GOOG,2024-09-16,14:45,CALL,TR-UD-15m intradia
GOOG,2024-09-17,15:45,CALL,TR-UD-15m intradia
GOOG,2024-09-18,12:00,PUT,TR-UD-15m intradia
GOOG,2024-09-18,14:45,CALL,TR-UD-15m intradia
GOOG,2024-09-20,11:30,PUT,TR-UD-15m intradia
GOOG,2024-09-23,13:15,PUT,TR-UD-15m intradia
GOOG,2024-09-23,15:00,CALL,TR-UD-15m intradia
GOOG,2024-09-25,10:15,CALL,TR-UD-15m intradia
GOOG,2024-09-30,15:30,CALL,TR-UD-15m intradia
GOOG,2024-10-02,09:45,PUT,TR-UD-15m intradia
GOOG,2024-10-03,12:15,CALL,TR-UD-15m intradia
GOOG,2024-10-03,14:15,PUT,TR-UD-15m intradia
GOOG,2024-10-07,12:15,PUT,TR-UD-15m intradia
GOOG,2024-10-11,13:45,CALL,TR-UD-15m intradia
GOOG,2024-10-17,10:00,PUT,TR-UD-15m intradia
GOOG,2024-10-18,14:15,PUT,TR-UD-15m intradia
GOOG,2024-10-21,15:30,CALL,TR-UD-15m intradia
GOOG,2024-10-24,14:15,PUT,TR-UD-15m intradia
GOOG,2024-11-01,15:30,PUT,TR-UD-15m intradia
GOOG,2024-11-05,10:15,CALL,TR-UD-15m intradia
GOOG,2024-11-08,10:30,PUT,TR-UD-15m intradia
GOOG,2024-11-13,13:00,PUT,TR-UD-15m intradia
GOOG,2024-11-27,13:15,CALL,TR-UD-15m intradia
GOOG,2024-12-03,15:00,CALL,TR-UD-15m intradia
GOOG,2024-12-05,13:45,CALL,TR-UD-15m intradia
GOOG,2024-12-05,15:45,CALL,TR-UD-15m intradia
GOOG,2024-12-26,14:45,CALL,TR-UD-15m intradia
GOOG,2024-12-30,15:30,PUT,TR-UD-15m intradia
GOOG,2025-01-07,15:30,PUT,TR-UD-15m intradia
GOOG,2025-01-10,14:00,CALL,TR-UD-15m intradia
GOOG,2025-01-16,13:45,PUT,TR-UD-15m intradia
GOOG,2025-01-17,09:45,CALL,TR-UD-15m intradia
GOOG,2025-01-17,12:30,CALL,TR-UD-15m intradia
GOOG,2025-01-22,12:30,CALL,TR-UD-15m intradia
GOOG,2025-01-24,09:45,CALL,TR-UD-15m intradia
GOOG,2025-01-28,11:45,CALL,TR-UD-15m intradia
