ticker,fecha,hora_et,direccion,estrategia
IWM,2026-01-07,14:45,CALL,TR-UD-15m intradia (TV)
IWM,2026-01-12,10:45,CALL,TR-UD-15m intradia (TV)
IWM,2026-01-13,12:00,CALL,TR-UD-15m intradia (TV)
IWM,2026-01-16,13:15,CALL,TR-UD-15m intradia (TV)
IWM,2026-01-26,14:30,PUT,TR-UD-15m intradia (TV)
IWM,2026-01-27,10:15,PUT,TR-UD-15m intradia (TV)
IWM,2026-01-28,10:00,PUT,TR-UD-15m intradia (TV)
IWM,2026-01-30,09:30,PUT,TR-UD-15m intradia (TV)
IWM,2026-02-12,10:30,PUT,TR-UD-15m intradia (TV)
IWM,2026-02-19,10:30,CALL,TR-UD-15m intradia (TV)
IWM,2026-02-20,12:00,PUT,TR-UD-15m intradia (TV)
IWM,2026-02-24,14:00,PUT,TR-UD-15m intradia (TV)
IWM,2026-02-25,14:30,CALL,TR-UD-15m intradia (TV)
IWM,2026-02-26,13:30,CALL,TR-UD-15m intradia (TV)
IWM,2026-03-02,13:00,PUT,TR-UD-15m intradia (TV)
IWM,2026-03-11,14:15,CALL,TR-UD-15m intradia (TV)
IWM,2026-03-13,11:15,PUT,TR-UD-15m intradia (TV)
IWM,2026-03-20,09:45,PUT,TR-UD-15m intradia (TV)
IWM,2026-03-24,14:30,CALL,TR-UD-15m intradia (TV)
IWM,2026-03-31,11:45,PUT,TR-UD-15m intradia (TV)
IWM,2026-03-31,12:30,CALL,TR-UD-15m intradia (TV)
IWM,2026-04-07,12:00,CALL,TR-UD-15m intradia (TV)
IWM,2026-04-13,10:45,CALL,TR-UD-15m intradia (TV)
IWM,2026-04-15,14:00,CALL,TR-UD-15m intradia (TV)
IWM,2026-04-20,14:30,CALL,TR-UD-15m intradia (TV)
IWM,2026-04-21,14:45,CALL,TR-UD-15m intradia (TV)
IWM,2026-04-23,11:15,CALL,TR-UD-15m intradia (TV)
IWM,2026-04-27,13:15,CALL,TR-UD-15m intradia (TV)
IWM,2026-05-04,15:00,CALL,TR-UD-15m intradia (TV)
IWM,2026-05-07,14:00,CALL,TR-UD-15m intradia (TV)
IWM,2026-05-27,12:30,CALL,TR-UD-15m intradia (TV)
IWM,2026-05-28,11:00,CALL,TR-UD-15m intradia (TV)
IWM,2026-06-01,15:00,PUT,TR-UD-15m intradia (TV)
IWM,2026-06-08,15:00,PUT,TR-UD-15m intradia (TV)
IWM,2026-06-09,11:15,PUT,TR-UD-15m intradia (TV)
IWM,2026-06-10,13:00,PUT,TR-UD-15m intradia (TV)
IWM,2026-06-11,09:30,CALL,TR-UD-15m intradia (TV)
IWM,2026-06-16,13:15,CALL,TR-UD-15m intradia (TV)
IWM,2026-06-18,11:15,PUT,TR-UD-15m intradia (TV)
IWM,2026-06-18,14:45,CALL,TR-UD-15m intradia (TV)
IWM,2026-06-24,15:45,CALL,TR-UD-15m intradia (TV)
