ticker,fecha,hora_et,direccion,estrategia
MSFT,2022-06-03,14:30,CALL,TR-UD-15m intradia
MSFT,2022-06-07,14:15,CALL,TR-UD-15m intradia
MSFT,2022-06-09,13:30,PUT,TR-UD-15m intradia
MSFT,2022-06-14,15:00,PUT,TR-UD-15m intradia
MSFT,2022-06-17,11:30,CALL,TR-UD-15m intradia
MSFT,2022-06-23,10:00,CALL,TR-UD-15m intradia
MSFT,2022-06-27,12:30,PUT,TR-UD-15m intradia
MSFT,2022-06-27,13:00,CALL,TR-UD-15m intradia
MSFT,2022-06-29,14:45,PUT,TR-UD-15m intradia
MSFT,2022-07-05,09:45,PUT,TR-UD-15m intradia
MSFT,2022-07-05,12:30,CALL,TR-UD-15m intradia
MSFT,2022-07-14,14:15,CALL,TR-UD-15m intradia
MSFT,2022-07-19,11:15,CALL,TR-UD-15m intradia
MSFT,2022-08-01,09:45,PUT,TR-UD-15m intradia
MSFT,2022-08-08,14:15,PUT,TR-UD-15m intradia
MSFT,2022-08-16,13:45,CALL,TR-UD-15m intradia
MSFT,2022-08-16,14:45,PUT,TR-UD-15m intradia
MSFT,2022-08-17,10:15,PUT,TR-UD-15m intradia
MSFT,2022-08-17,15:45,PUT,TR-UD-15m intradia
MSFT,2022-08-18,14:45,PUT,TR-UD-15m intradia
MSFT,2022-08-26,10:30,PUT,TR-UD-15m intradia
MSFT,2022-08-31,13:45,PUT,TR-UD-15m intradia
MSFT,2022-09-02,15:45,PUT,TR-UD-15m intradia
MSFT,2022-09-07,09:45,CALL,TR-UD-15m intradia
MSFT,2022-09-08,14:45,CALL,TR-UD-15m intradia
MSFT,2022-09-20,09:45,PUT,TR-UD-15m intradia
MSFT,2022-09-20,13:30,PUT,TR-UD-15m intradia
MSFT,2022-09-23,12:00,PUT,TR-UD-15m intradia
MSFT,2022-09-27,11:30,PUT,TR-UD-15m intradia
MSFT,2022-09-30,11:15,CALL,TR-UD-15m intradia
MSFT,2022-09-30,14:15,PUT,TR-UD-15m intradia
MSFT,2022-10-03,10:00,PUT,TR-UD-15m intradia
MSFT,2022-10-03,12:15,CALL,TR-UD-15m intradia
MSFT,2022-10-05,13:15,CALL,TR-UD-15m intradia
MSFT,2022-10-18,15:15,PUT,TR-UD-15m intradia
MSFT,2022-10-18,15:30,CALL,TR-UD-15m intradia
MSFT,2022-10-19,11:30,PUT,TR-UD-15m intradia
MSFT,2022-10-31,14:00,CALL,TR-UD-15m intradia
MSFT,2022-11-01,09:45,CALL,TR-UD-15m intradia
MSFT,2022-11-04,14:30,CALL,TR-UD-15m intradia
MSFT,2022-11-09,10:45,PUT,TR-UD-15m intradia
MSFT,2022-11-17,12:00,CALL,TR-UD-15m intradia
MSFT,2022-11-18,12:45,PUT,TR-UD-15m intradia
MSFT,2022-11-22,13:15,CALL,TR-UD-15m intradia
MSFT,2022-12-02,15:00,CALL,TR-UD-15m intradia
MSFT,2022-12-05,11:45,PUT,TR-UD-15m intradia
MSFT,2022-12-07,14:00,PUT,TR-UD-15m intradia
MSFT,2022-12-08,09:45,PUT,TR-UD-15m intradia
MSFT,2022-12-09,11:00,CALL,TR-UD-15m intradia
MSFT,2022-12-20,13:30,CALL,TR-UD-15m intradia
MSFT,2022-12-23,10:45,CALL,TR-UD-15m intradia
MSFT,2022-12-28,09:45,CALL,TR-UD-15m intradia
MSFT,2022-12-28,11:45,PUT,TR-UD-15m intradia
MSFT,2023-01-10,15:00,PUT,TR-UD-15m intradia
MSFT,2023-01-20,11:15,CALL,TR-UD-15m intradia
MSFT,2023-01-31,12:45,CALL,TR-UD-15m intradia
MSFT,2023-02-03,09:45,PUT,TR-UD-15m intradia
MSFT,2023-02-08,15:45,CALL,TR-UD-15m intradia
MSFT,2023-02-14,10:45,PUT,TR-UD-15m intradia
MSFT,2023-02-14,14:30,CALL,TR-UD-15m intradia
MSFT,2023-02-15,09:45,PUT,TR-UD-15m intradia
MSFT,2023-02-24,09:45,PUT,TR-UD-15m intradia
MSFT,2023-02-28,15:15,PUT,TR-UD-15m intradia
MSFT,2023-03-02,13:15,PUT,TR-UD-15m intradia
MSFT,2023-03-13,10:00,CALL,TR-UD-15m intradia
MSFT,2023-03-24,11:00,CALL,TR-UD-15m intradia
MSFT,2023-04-03,11:15,PUT,TR-UD-15m intradia
MSFT,2023-04-03,15:00,CALL,TR-UD-15m intradia
MSFT,2023-04-10,10:00,PUT,TR-UD-15m intradia
MSFT,2023-04-14,12:15,PUT,TR-UD-15m intradia
MSFT,2023-04-17,12:30,CALL,TR-UD-15m intradia
MSFT,2023-04-18,10:30,PUT,TR-UD-15m intradia
MSFT,2023-04-20,13:15,CALL,TR-UD-15m intradia
MSFT,2023-05-02,10:00,CALL,TR-UD-15m intradia
MSFT,2023-05-03,10:00,PUT,TR-UD-15m intradia
MSFT,2023-05-03,12:15,PUT,TR-UD-15m intradia
MSFT,2023-05-03,13:00,CALL,TR-UD-15m intradia
MSFT,2023-05-03,15:15,PUT,TR-UD-15m intradia
MSFT,2023-05-04,13:00,CALL,TR-UD-15m intradia
MSFT,2023-05-04,15:45,PUT,TR-UD-15m intradia
MSFT,2023-05-08,12:15,PUT,TR-UD-15m intradia
MSFT,2023-05-09,11:00,PUT,TR-UD-15m intradia
MSFT,2023-05-09,15:15,PUT,TR-UD-15m intradia
MSFT,2023-05-12,13:00,PUT,TR-UD-15m intradia
MSFT,2023-05-15,11:15,CALL,TR-UD-15m intradia
MSFT,2023-05-15,13:45,PUT,TR-UD-15m intradia
MSFT,2023-05-17,13:30,CALL,TR-UD-15m intradia
MSFT,2023-05-19,13:15,CALL,TR-UD-15m intradia
MSFT,2023-05-19,15:15,CALL,TR-UD-15m intradia
MSFT,2023-05-30,14:30,CALL,TR-UD-15m intradia
MSFT,2023-06-12,09:45,CALL,TR-UD-15m intradia
MSFT,2023-06-12,13:45,CALL,TR-UD-15m intradia
MSFT,2023-06-27,13:30,CALL,TR-UD-15m intradia
MSFT,2023-07-03,12:30,PUT,TR-UD-15m intradia
MSFT,2023-07-05,15:45,PUT,TR-UD-15m intradia
MSFT,2023-07-07,12:15,CALL,TR-UD-15m intradia
MSFT,2023-07-11,15:45,CALL,TR-UD-15m intradia
MSFT,2023-07-27,13:30,PUT,TR-UD-15m intradia
MSFT,2023-07-28,09:45,CALL,TR-UD-15m intradia
