ticker,fecha,hora_et,direccion,estrategia
NVDA,2022-06-06,12:15,PUT,TR-UD-15m intradia
NVDA,2022-06-08,15:45,CALL,TR-UD-15m intradia
NVDA,2022-06-17,12:15,CALL,TR-UD-15m intradia
NVDA,2022-06-27,14:45,CALL,TR-UD-15m intradia
NVDA,2022-06-28,10:00,PUT,TR-UD-15m intradia
NVDA,2022-07-12,12:00,CALL,TR-UD-15m intradia
NVDA,2022-07-12,14:45,PUT,TR-UD-15m intradia
NVDA,2022-07-13,10:45,CALL,TR-UD-15m intradia
NVDA,2022-07-14,13:45,CALL,TR-UD-15m intradia
NVDA,2022-07-19,12:45,CALL,TR-UD-15m intradia
NVDA,2022-08-02,09:45,PUT,TR-UD-15m intradia
NVDA,2022-08-02,11:00,CALL,TR-UD-15m intradia
NVDA,2022-08-03,12:30,CALL,TR-UD-15m intradia
NVDA,2022-08-03,14:30,CALL,TR-UD-15m intradia
NVDA,2022-08-10,11:15,CALL,TR-UD-15m intradia
NVDA,2022-08-12,12:30,CALL,TR-UD-15m intradia
NVDA,2022-08-16,09:45,PUT,TR-UD-15m intradia
NVDA,2022-08-18,09:45,CALL,TR-UD-15m intradia
NVDA,2022-08-23,13:45,PUT,TR-UD-15m intradia
NVDA,2022-08-23,15:45,PUT,TR-UD-15m intradia
NVDA,2022-08-24,11:15,CALL,TR-UD-15m intradia
NVDA,2022-08-24,14:45,PUT,TR-UD-15m intradia
NVDA,2022-09-02,10:45,CALL,TR-UD-15m intradia
NVDA,2022-09-02,12:45,PUT,TR-UD-15m intradia
NVDA,2022-09-02,15:30,PUT,TR-UD-15m intradia
NVDA,2022-09-07,14:15,CALL,TR-UD-15m intradia
NVDA,2022-09-12,15:15,CALL,TR-UD-15m intradia
NVDA,2022-09-15,10:00,CALL,TR-UD-15m intradia
NVDA,2022-09-16,14:30,CALL,TR-UD-15m intradia
NVDA,2022-09-20,09:45,PUT,TR-UD-15m intradia
NVDA,2022-09-26,13:45,PUT,TR-UD-15m intradia
NVDA,2022-10-05,15:00,CALL,TR-UD-15m intradia
NVDA,2022-10-12,10:15,PUT,TR-UD-15m intradia
NVDA,2022-10-12,14:15,CALL,TR-UD-15m intradia
NVDA,2022-10-13,11:15,CALL,TR-UD-15m intradia
NVDA,2022-10-14,12:00,PUT,TR-UD-15m intradia
NVDA,2022-10-17,11:30,CALL,TR-UD-15m intradia
NVDA,2022-10-18,15:45,CALL,TR-UD-15m intradia
NVDA,2022-10-19,13:15,PUT,TR-UD-15m intradia
NVDA,2022-10-31,14:45,CALL,TR-UD-15m intradia
NVDA,2022-11-02,15:00,PUT,TR-UD-15m intradia
NVDA,2022-11-22,10:00,CALL,TR-UD-15m intradia
NVDA,2022-12-05,11:00,CALL,TR-UD-15m intradia
NVDA,2022-12-14,09:45,PUT,TR-UD-15m intradia
NVDA,2022-12-14,12:30,PUT,TR-UD-15m intradia
NVDA,2023-01-03,10:15,PUT,TR-UD-15m intradia
NVDA,2023-01-11,10:00,PUT,TR-UD-15m intradia
NVDA,2023-01-11,14:45,CALL,TR-UD-15m intradia
NVDA,2023-02-03,09:45,PUT,TR-UD-15m intradia
NVDA,2023-02-06,14:45,PUT,TR-UD-15m intradia
NVDA,2023-02-07,10:15,CALL,TR-UD-15m intradia
NVDA,2023-02-24,12:30,PUT,TR-UD-15m intradia
NVDA,2023-03-02,13:30,PUT,TR-UD-15m intradia
NVDA,2023-03-08,12:00,CALL,TR-UD-15m intradia
NVDA,2023-03-13,15:30,PUT,TR-UD-15m intradia
NVDA,2023-03-15,10:30,PUT,TR-UD-15m intradia
NVDA,2023-03-21,15:00,CALL,TR-UD-15m intradia
NVDA,2023-03-24,10:15,PUT,TR-UD-15m intradia
NVDA,2023-04-03,13:00,PUT,TR-UD-15m intradia
NVDA,2023-04-04,14:30,PUT,TR-UD-15m intradia
NVDA,2023-04-06,11:15,CALL,TR-UD-15m intradia
NVDA,2023-04-11,13:30,CALL,TR-UD-15m intradia
NVDA,2023-04-13,14:30,PUT,TR-UD-15m intradia
NVDA,2023-04-14,10:00,CALL,TR-UD-15m intradia
NVDA,2023-04-17,09:45,CALL,TR-UD-15m intradia
NVDA,2023-04-19,12:30,CALL,TR-UD-15m intradia
NVDA,2023-04-24,10:45,PUT,TR-UD-15m intradia
NVDA,2023-04-26,11:30,CALL,TR-UD-15m intradia
NVDA,2023-05-12,09:45,CALL,TR-UD-15m intradia
NVDA,2023-05-19,15:45,CALL,TR-UD-15m intradia
NVDA,2023-05-23,11:45,PUT,TR-UD-15m intradia
NVDA,2023-05-26,14:30,CALL,TR-UD-15m intradia
NVDA,2023-06-01,12:15,CALL,TR-UD-15m intradia
NVDA,2023-06-07,12:30,PUT,TR-UD-15m intradia
NVDA,2023-06-12,10:00,PUT,TR-UD-15m intradia
NVDA,2023-06-20,12:30,CALL,TR-UD-15m intradia
NVDA,2023-06-20,15:15,CALL,TR-UD-15m intradia
NVDA,2023-06-22,11:45,CALL,TR-UD-15m intradia
NVDA,2023-06-26,10:00,CALL,TR-UD-15m intradia
NVDA,2023-06-28,10:00,PUT,TR-UD-15m intradia
NVDA,2023-07-05,10:00,CALL,TR-UD-15m intradia
NVDA,2023-07-05,15:15,CALL,TR-UD-15m intradia
NVDA,2023-07-05,15:45,PUT,TR-UD-15m intradia
NVDA,2023-07-11,13:15,PUT,TR-UD-15m intradia
NVDA,2023-07-11,15:30,CALL,TR-UD-15m intradia
NVDA,2023-07-18,10:00,CALL,TR-UD-15m intradia
NVDA,2023-07-19,14:30,PUT,TR-UD-15m intradia
NVDA,2023-07-24,14:45,PUT,TR-UD-15m intradia
NVDA,2023-07-28,11:30,CALL,TR-UD-15m intradia
NVDA,2023-07-28,15:15,PUT,TR-UD-15m intradia
NVDA,2023-07-31,11:30,PUT,TR-UD-15m intradia
NVDA,2023-07-31,15:00,CALL,TR-UD-15m intradia
NVDA,2023-08-01,11:00,CALL,TR-UD-15m intradia
NVDA,2023-08-01,13:45,PUT,TR-UD-15m intradia
NVDA,2023-08-07,14:00,PUT,TR-UD-15m intradia
NVDA,2023-08-23,14:45,PUT,TR-UD-15m intradia
NVDA,2023-08-31,12:00,CALL,TR-UD-15m intradia
NVDA,2023-08-31,15:15,CALL,TR-UD-15m intradia
NVDA,2023-09-06,09:45,PUT,TR-UD-15m intradia
NVDA,2023-09-13,09:45,CALL,TR-UD-15m intradia
NVDA,2023-09-20,10:00,CALL,TR-UD-15m intradia
NVDA,2023-09-20,11:15,PUT,TR-UD-15m intradia
NVDA,2023-09-20,13:15,PUT,TR-UD-15m intradia
NVDA,2023-09-26,10:00,PUT,TR-UD-15m intradia
NVDA,2023-09-26,10:30,CALL,TR-UD-15m intradia
NVDA,2023-09-26,14:00,CALL,TR-UD-15m intradia
NVDA,2023-09-27,12:00,PUT,TR-UD-15m intradia
NVDA,2023-09-27,14:45,CALL,TR-UD-15m intradia
NVDA,2023-10-03,10:30,PUT,TR-UD-15m intradia
NVDA,2023-10-09,11:15,PUT,TR-UD-15m intradia
NVDA,2023-10-10,10:00,CALL,TR-UD-15m intradia
NVDA,2023-10-13,11:00,PUT,TR-UD-15m intradia
NVDA,2023-10-19,13:45,PUT,TR-UD-15m intradia
NVDA,2023-10-27,13:00,PUT,TR-UD-15m intradia
NVDA,2023-11-10,11:00,CALL,TR-UD-15m intradia
NVDA,2023-11-15,09:45,PUT,TR-UD-15m intradia
NVDA,2023-11-27,14:45,PUT,TR-UD-15m intradia
NVDA,2023-12-01,15:45,PUT,TR-UD-15m intradia
NVDA,2023-12-07,12:30,CALL,TR-UD-15m intradia
NVDA,2023-12-12,09:45,CALL,TR-UD-15m intradia
NVDA,2023-12-29,10:45,PUT,TR-UD-15m intradia
NVDA,2024-01-11,15:00,CALL,TR-UD-15m intradia
NVDA,2024-01-12,13:30,CALL,TR-UD-15m intradia
NVDA,2024-01-29,13:45,CALL,TR-UD-15m intradia
NVDA,2024-02-01,12:15,CALL,TR-UD-15m intradia
NVDA,2024-02-06,11:00,PUT,TR-UD-15m intradia
NVDA,2024-02-09,10:00,CALL,TR-UD-15m intradia
NVDA,2024-02-15,09:45,PUT,TR-UD-15m intradia
NVDA,2024-02-15,14:45,CALL,TR-UD-15m intradia
NVDA,2024-02-15,15:15,PUT,TR-UD-15m intradia
NVDA,2024-02-26,12:30,CALL,TR-UD-15m intradia
NVDA,2024-02-26,14:15,PUT,TR-UD-15m intradia
NVDA,2024-03-13,11:30,PUT,TR-UD-15m intradia
NVDA,2024-03-13,14:45,CALL,TR-UD-15m intradia
NVDA,2024-03-20,15:30,CALL,TR-UD-15m intradia
NVDA,2024-03-28,14:00,PUT,TR-UD-15m intradia
NVDA,2024-04-01,11:30,PUT,TR-UD-15m intradia
NVDA,2024-04-04,13:45,CALL,TR-UD-15m intradia
NVDA,2024-04-04,14:00,PUT,TR-UD-15m intradia
NVDA,2024-04-05,15:45,PUT,TR-UD-15m intradia
NVDA,2024-04-08,11:45,CALL,TR-UD-15m intradia
NVDA,2024-04-12,13:15,CALL,TR-UD-15m intradia
NVDA,2024-04-15,12:30,PUT,TR-UD-15m intradia
NVDA,2024-04-18,14:45,PUT,TR-UD-15m intradia
NVDA,2024-04-22,15:30,PUT,TR-UD-15m intradia
NVDA,2024-04-25,12:30,CALL,TR-UD-15m intradia
NVDA,2024-04-29,13:15,CALL,TR-UD-15m intradia
NVDA,2024-04-30,09:45,CALL,TR-UD-15m intradia
NVDA,2024-05-13,13:00,CALL,TR-UD-15m intradia
NVDA,2024-05-13,14:15,PUT,TR-UD-15m intradia
NVDA,2024-05-14,10:30,CALL,TR-UD-15m intradia
NVDA,2024-05-21,15:15,CALL,TR-UD-15m intradia
NVDA,2024-05-22,13:30,CALL,TR-UD-15m intradia
NVDA,2024-05-22,15:45,CALL,TR-UD-15m intradia
NVDA,2024-05-24,12:45,CALL,TR-UD-15m intradia
NVDA,2024-06-10,09:45,PUT,TR-UD-15m intradia
NVDA,2024-06-17,14:00,CALL,TR-UD-15m intradia
NVDA,2024-06-28,09:45,CALL,TR-UD-15m intradia
NVDA,2024-07-02,12:00,PUT,TR-UD-15m intradia
NVDA,2024-07-03,10:45,CALL,TR-UD-15m intradia
NVDA,2024-07-15,12:15,PUT,TR-UD-15m intradia
NVDA,2024-07-18,13:00,CALL,TR-UD-15m intradia
NVDA,2024-07-18,15:15,PUT,TR-UD-15m intradia
NVDA,2024-07-19,12:45,PUT,TR-UD-15m intradia
NVDA,2024-07-29,10:30,CALL,TR-UD-15m intradia
NVDA,2024-08-20,13:45,CALL,TR-UD-15m intradia
NVDA,2024-08-21,09:45,CALL,TR-UD-15m intradia
NVDA,2024-08-22,11:30,PUT,TR-UD-15m intradia
NVDA,2024-08-26,13:15,PUT,TR-UD-15m intradia
NVDA,2024-09-05,10:30,CALL,TR-UD-15m intradia
NVDA,2024-09-05,15:30,CALL,TR-UD-15m intradia
NVDA,2024-09-13,15:30,CALL,TR-UD-15m intradia
NVDA,2024-09-24,10:45,PUT,TR-UD-15m intradia
NVDA,2024-09-26,11:00,PUT,TR-UD-15m intradia
NVDA,2024-10-09,15:45,CALL,TR-UD-15m intradia
NVDA,2024-10-11,13:45,CALL,TR-UD-15m intradia
NVDA,2024-10-28,09:45,PUT,TR-UD-15m intradia
