ticker,fecha,hora_et,direccion,estrategia
PLTR,2022-06-06,10:15,CALL,TR-UD-15m intradia
PLTR,2022-06-07,10:45,CALL,TR-UD-15m intradia
PLTR,2022-07-01,09:45,CALL,TR-UD-15m intradia
PLTR,2022-07-05,09:45,PUT,TR-UD-15m intradia
PLTR,2022-07-07,12:00,CALL,TR-UD-15m intradia
PLTR,2022-07-15,15:15,PUT,TR-UD-15m intradia
PLTR,2022-07-19,13:45,CALL,TR-UD-15m intradia
PLTR,2022-08-04,10:45,PUT,TR-UD-15m intradia
PLTR,2022-08-25,13:30,CALL,TR-UD-15m intradia
PLTR,2022-08-31,11:00,PUT,TR-UD-15m intradia
PLTR,2022-09-20,10:00,CALL,TR-UD-15m intradia
PLTR,2022-10-12,11:45,CALL,TR-UD-15m intradia
PLTR,2022-10-12,14:15,CALL,TR-UD-15m intradia
PLTR,2022-10-19,11:00,PUT,TR-UD-15m intradia
PLTR,2022-10-21,11:30,CALL,TR-UD-15m intradia
PLTR,2022-10-24,14:30,CALL,TR-UD-15m intradia
PLTR,2022-10-27,10:00,PUT,TR-UD-15m intradia
PLTR,2022-10-28,12:30,CALL,TR-UD-15m intradia
PLTR,2022-11-09,09:45,PUT,TR-UD-15m intradia
PLTR,2022-11-22,14:15,PUT,TR-UD-15m intradia
PLTR,2022-11-28,14:15,PUT,TR-UD-15m intradia
PLTR,2022-12-09,15:15,CALL,TR-UD-15m intradia
PLTR,2022-12-21,13:00,CALL,TR-UD-15m intradia
PLTR,2022-12-30,12:00,CALL,TR-UD-15m intradia
PLTR,2023-01-13,09:45,PUT,TR-UD-15m intradia
PLTR,2023-01-17,13:00,CALL,TR-UD-15m intradia
PLTR,2023-01-18,15:15,CALL,TR-UD-15m intradia
PLTR,2023-01-25,11:15,CALL,TR-UD-15m intradia
PLTR,2023-01-30,10:45,PUT,TR-UD-15m intradia
PLTR,2023-02-08,15:15,PUT,TR-UD-15m intradia
PLTR,2023-02-27,13:00,CALL,TR-UD-15m intradia
PLTR,2023-03-02,13:30,PUT,TR-UD-15m intradia
PLTR,2023-03-13,10:00,CALL,TR-UD-15m intradia
PLTR,2023-03-14,15:15,CALL,TR-UD-15m intradia
PLTR,2023-03-20,10:30,CALL,TR-UD-15m intradia
PLTR,2023-03-27,10:15,CALL,TR-UD-15m intradia
PLTR,2023-04-03,13:15,CALL,TR-UD-15m intradia
PLTR,2023-04-12,10:00,PUT,TR-UD-15m intradia
PLTR,2023-04-13,11:45,CALL,TR-UD-15m intradia
PLTR,2023-04-18,09:45,CALL,TR-UD-15m intradia
PLTR,2023-04-24,10:00,PUT,TR-UD-15m intradia
PLTR,2023-04-27,10:15,CALL,TR-UD-15m intradia
PLTR,2023-05-05,13:30,CALL,TR-UD-15m intradia
