ticker,fecha,hora_et,direccion,estrategia
QQQ,2020-04-24,11:30,PUT,TR-UD-15m intradia
QQQ,2020-12-11,11:00,PUT,TR-UD-15m intradia
QQQ,2021-02-19,10:30,PUT,TR-UD-15m intradia
QQQ,2021-05-05,12:30,PUT,TR-UD-15m intradia
QQQ,2021-06-01,15:30,PUT,TR-UD-15m intradia
QQQ,2021-06-02,12:30,PUT,TR-UD-15m intradia
QQQ,2021-07-12,12:15,CALL,TR-UD-15m intradia
QQQ,2021-08-20,09:45,CALL,TR-UD-15m intradia
QQQ,2021-08-27,13:15,CALL,TR-UD-15m intradia
QQQ,2021-09-03,15:15,CALL,TR-UD-15m intradia
QQQ,2021-09-27,13:00,PUT,TR-UD-15m intradia
QQQ,2021-10-11,13:00,PUT,TR-UD-15m intradia
QQQ,2021-10-11,15:30,PUT,TR-UD-15m intradia
QQQ,2021-11-29,15:15,CALL,TR-UD-15m intradia
QQQ,2021-12-08,12:45,CALL,TR-UD-15m intradia
QQQ,2021-12-10,13:45,PUT,TR-UD-15m intradia
QQQ,2021-12-13,10:30,PUT,TR-UD-15m intradia
QQQ,2021-12-17,15:00,PUT,TR-UD-15m intradia
QQQ,2022-03-02,09:45,PUT,TR-UD-15m intradia
QQQ,2022-03-02,13:15,CALL,TR-UD-15m intradia
QQQ,2022-04-20,11:30,PUT,TR-UD-15m intradia
QQQ,2022-06-07,10:45,CALL,TR-UD-15m intradia
QQQ,2022-06-07,13:30,PUT,TR-UD-15m intradia
QQQ,2022-06-07,15:45,CALL,TR-UD-15m intradia
QQQ,2022-06-17,11:30,CALL,TR-UD-15m intradia
QQQ,2022-06-23,10:45,CALL,TR-UD-15m intradia
QQQ,2022-06-23,13:00,PUT,TR-UD-15m intradia
QQQ,2022-07-05,09:45,PUT,TR-UD-15m intradia
QQQ,2022-07-12,14:30,PUT,TR-UD-15m intradia
QQQ,2022-07-13,15:30,PUT,TR-UD-15m intradia
QQQ,2022-08-02,09:45,PUT,TR-UD-15m intradia
QQQ,2022-08-03,09:45,CALL,TR-UD-15m intradia
QQQ,2022-08-04,15:00,CALL,TR-UD-15m intradia
QQQ,2022-08-08,14:15,PUT,TR-UD-15m intradia
QQQ,2022-08-16,09:45,PUT,TR-UD-15m intradia
QQQ,2022-08-16,13:45,CALL,TR-UD-15m intradia
QQQ,2022-08-18,15:15,CALL,TR-UD-15m intradia
QQQ,2022-08-23,10:15,CALL,TR-UD-15m intradia
QQQ,2022-08-31,13:30,PUT,TR-UD-15m intradia
QQQ,2022-09-02,15:45,PUT,TR-UD-15m intradia
QQQ,2022-09-07,09:45,CALL,TR-UD-15m intradia
QQQ,2022-09-07,12:00,CALL,TR-UD-15m intradia
QQQ,2022-09-14,15:30,PUT,TR-UD-15m intradia
QQQ,2022-09-15,10:00,CALL,TR-UD-15m intradia
QQQ,2022-09-19,14:45,CALL,TR-UD-15m intradia
QQQ,2022-09-20,09:45,PUT,TR-UD-15m intradia
QQQ,2022-09-20,13:30,PUT,TR-UD-15m intradia
QQQ,2022-09-21,14:45,CALL,TR-UD-15m intradia
QQQ,2022-09-27,12:15,PUT,TR-UD-15m intradia
QQQ,2022-09-30,13:00,PUT,TR-UD-15m intradia
QQQ,2022-10-03,13:00,CALL,TR-UD-15m intradia
QQQ,2022-10-05,14:45,CALL,TR-UD-15m intradia
QQQ,2022-10-11,12:45,CALL,TR-UD-15m intradia
QQQ,2022-10-13,11:30,CALL,TR-UD-15m intradia
QQQ,2022-10-18,15:45,CALL,TR-UD-15m intradia
QQQ,2022-10-20,13:15,PUT,TR-UD-15m intradia
QQQ,2022-10-21,12:45,CALL,TR-UD-15m intradia
QQQ,2022-10-31,13:30,CALL,TR-UD-15m intradia
QQQ,2022-11-01,10:15,PUT,TR-UD-15m intradia
QQQ,2022-11-04,12:00,PUT,TR-UD-15m intradia
QQQ,2022-11-16,10:00,PUT,TR-UD-15m intradia
QQQ,2022-11-18,09:45,CALL,TR-UD-15m intradia
QQQ,2022-11-18,12:30,PUT,TR-UD-15m intradia
QQQ,2022-11-21,09:45,PUT,TR-UD-15m intradia
QQQ,2022-11-22,12:15,CALL,TR-UD-15m intradia
QQQ,2022-11-25,09:45,PUT,TR-UD-15m intradia
QQQ,2022-11-28,09:45,PUT,TR-UD-15m intradia
QQQ,2022-11-30,11:45,CALL,TR-UD-15m intradia
