ticker,fecha,hora_et,direccion,estrategia
TSLA,2022-06-07,10:00,PUT,TR-UD-15m intradia
TSLA,2022-06-07,13:30,PUT,TR-UD-15m intradia
TSLA,2022-06-09,15:15,PUT,TR-UD-15m intradia
TSLA,2022-06-16,09:45,PUT,TR-UD-15m intradia
TSLA,2022-06-28,10:45,PUT,TR-UD-15m intradia
TSLA,2022-07-01,13:00,PUT,TR-UD-15m intradia
TSLA,2022-07-05,12:30,CALL,TR-UD-15m intradia
TSLA,2022-07-13,10:00,CALL,TR-UD-15m intradia
TSLA,2022-07-14,14:45,CALL,TR-UD-15m intradia
TSLA,2022-07-19,09:45,PUT,TR-UD-15m intradia
TSLA,2022-08-02,09:45,PUT,TR-UD-15m intradia
TSLA,2022-08-02,12:30,CALL,TR-UD-15m intradia
TSLA,2022-08-02,15:45,PUT,TR-UD-15m intradia
TSLA,2022-08-04,15:00,CALL,TR-UD-15m intradia
TSLA,2022-08-09,09:45,PUT,TR-UD-15m intradia
TSLA,2022-08-11,13:45,CALL,TR-UD-15m intradia
TSLA,2022-08-16,13:30,CALL,TR-UD-15m intradia
TSLA,2022-08-18,14:45,PUT,TR-UD-15m intradia
TSLA,2022-08-26,11:15,PUT,TR-UD-15m intradia
TSLA,2022-08-31,14:45,PUT,TR-UD-15m intradia
TSLA,2022-09-02,15:00,PUT,TR-UD-15m intradia
TSLA,2022-09-06,15:00,PUT,TR-UD-15m intradia
TSLA,2022-09-26,14:30,PUT,TR-UD-15m intradia
TSLA,2022-09-28,10:30,CALL,TR-UD-15m intradia
TSLA,2022-09-30,13:15,PUT,TR-UD-15m intradia
TSLA,2022-10-10,15:30,PUT,TR-UD-15m intradia
TSLA,2022-10-11,13:30,PUT,TR-UD-15m intradia
TSLA,2022-10-13,11:30,CALL,TR-UD-15m intradia
TSLA,2022-10-18,15:30,CALL,TR-UD-15m intradia
TSLA,2022-10-19,13:30,PUT,TR-UD-15m intradia
TSLA,2022-10-21,14:00,CALL,TR-UD-15m intradia
TSLA,2022-10-27,14:30,CALL,TR-UD-15m intradia
TSLA,2022-11-04,11:45,PUT,TR-UD-15m intradia
TSLA,2022-11-10,11:30,CALL,TR-UD-15m intradia
TSLA,2022-11-14,09:45,PUT,TR-UD-15m intradia
TSLA,2022-11-29,10:00,PUT,TR-UD-15m intradia
