ticker,fecha,hora_et,direccion,estrategia
TSLA,2022-06-08,09:30,CALL,TR-UD-15m
TSLA,2022-06-24,09:30,CALL,TR-UD-15m
TSLA,2022-07-07,09:30,CALL,TR-UD-15m
TSLA,2022-07-19,09:30,PUT,TR-UD-15m
TSLA,2022-08-25,09:30,CALL,TR-UD-15m
TSLA,2022-08-30,09:30,CALL,TR-UD-15m
TSLA,2022-08-31,09:30,CALL,TR-UD-15m
TSLA,2022-10-25,09:30,CALL,TR-UD-15m
TSLA,2022-11-15,09:30,CALL,TR-UD-15m
TSLA,2022-11-16,09:30,PUT,TR-UD-15m
TSLA,2022-11-18,09:30,CALL,TR-UD-15m
TSLA,2022-12-09,09:30,CALL,TR-UD-15m
TSLA,2022-12-30,09:30,PUT,TR-UD-15m
TSLA,2023-01-03,09:30,PUT,TR-UD-15m
TSLA,2023-01-05,09:30,PUT,TR-UD-15m
TSLA,2023-01-20,09:30,CALL,TR-UD-15m
TSLA,2023-02-08,09:30,CALL,TR-UD-15m
TSLA,2023-02-21,09:30,CALL,TR-UD-15m
TSLA,2023-02-24,09:30,PUT,TR-UD-15m
TSLA,2023-03-23,09:30,PUT,TR-UD-15m
TSLA,2023-04-17,09:30,CALL,TR-UD-15m
TSLA,2023-04-18,09:30,CALL,TR-UD-15m
TSLA,2023-04-26,09:30,PUT,TR-UD-15m
TSLA,2023-05-05,09:30,CALL,TR-UD-15m
TSLA,2023-05-31,09:30,PUT,TR-UD-15m
TSLA,2023-06-01,09:30,CALL,TR-UD-15m
TSLA,2023-07-06,09:30,PUT,TR-UD-15m
TSLA,2023-07-07,09:30,CALL,TR-UD-15m
TSLA,2023-07-10,09:30,PUT,TR-UD-15m
TSLA,2023-08-01,09:30,PUT,TR-UD-15m
TSLA,2023-08-15,09:30,CALL,TR-UD-15m
TSLA,2023-10-04,09:30,CALL,TR-UD-15m
TSLA,2023-10-09,09:30,PUT,TR-UD-15m
TSLA,2023-10-10,09:30,CALL,TR-UD-15m
TSLA,2023-10-30,09:30,CALL,TR-UD-15m
TSLA,2023-11-09,09:30,PUT,TR-UD-15m
TSLA,2023-11-21,09:30,CALL,TR-UD-15m
TSLA,2023-11-30,09:30,PUT,TR-UD-15m
TSLA,2023-12-07,09:30,PUT,TR-UD-15m
TSLA,2023-12-08,09:30,PUT,TR-UD-15m
