nivel,umbral_pct,dow,n,ev_hold,evpct_hold,ev_reforzar,evpct_reforzar,ev_contra,evpct_contra,ev_cortar,evpct_cortar,delta_hold_vs_cortar,win_hold_vs_cortar,p_hold_vs_cortar,sig_hold_vs_cortar,delta_reforzar_vs_cortar,win_reforzar_vs_cortar,p_reforzar_vs_cortar,sig_reforzar_vs_cortar,delta_contra_vs_cortar,win_contra_vs_cortar,p_contra_vs_cortar,sig_contra_vs_cortar,mejor_rama
combined,20,Lun,64,-297.64,-29.76,-371.07,-24.74,-357.24,-23.82,-260.12,-26.01,-37.52,29.7,0.8082,False,-110.95,23.4,0.7558,False,-97.12,31.2,0.6666,False,cortar
combined,20,Mar,68,-408.74,-40.87,-583.48,-38.9,-478.66,-31.91,-237.83,-23.78,-170.91,19.1,0.2747,False,-345.65,19.1,0.119,False,-240.84,19.1,0.4447,False,cortar
combined,20,Mié,66,-662.59,-66.26,-895.17,-59.68,-1003.15,-66.88,-233.26,-23.33,-429.34,16.7,0.0,True,-661.92,10.6,0.0014,True,-769.89,13.6,0.0,True,cortar
combined,20,Jue,68,6.69,0.67,-8.03,-0.54,225.35,15.02,-223.95,-22.39,230.64,32.4,0.2949,False,215.91,29.4,0.5006,False,449.29,32.4,0.2924,False,contra
combined,20,Vie,68,-150.21,-15.02,-362.25,-24.15,-82.36,-5.49,-235.1,-23.51,84.89,25.0,0.7493,False,-127.14,19.1,0.7026,False,152.74,22.1,0.7506,False,contra
combined,30,Lun,64,-297.64,-29.76,-388.8,-25.92,-244.21,-16.28,-335.94,-33.59,38.3,31.2,0.8028,False,-52.86,23.4,0.883,False,91.73,34.4,0.7402,False,contra
combined,30,Mar,67,-400.45,-40.05,-605.27,-40.35,-363.74,-24.25,-334.88,-33.49,-65.57,22.4,0.678,False,-270.39,19.4,0.2299,False,-28.86,22.4,0.9323,False,cortar
combined,30,Mié,66,-662.59,-66.26,-1022.43,-68.16,-853.92,-56.93,-328.65,-32.86,-333.94,18.2,0.0003,True,-693.78,12.1,0.0,True,-525.27,16.7,0.0089,True,cortar
combined,30,Jue,64,-206.95,-20.69,-258.16,-17.21,-180.63,-12.04,-324.08,-32.41,117.13,29.7,0.5025,False,65.93,26.6,0.8124,False,143.45,29.7,0.6429,False,contra
combined,30,Vie,66,-185.18,-18.52,-544.88,-36.33,41.82,2.79,-326.64,-32.66,141.46,24.2,0.6028,False,-218.24,19.7,0.4301,False,368.46,18.2,0.4994,False,contra
combined,40,Lun,57,-418.24,-41.82,-707.04,-47.14,-309.69,-20.65,-425.7,-42.57,7.46,26.3,0.964,False,-281.35,17.5,0.2154,False,116.0,26.3,0.751,False,contra
combined,40,Mar,63,-430.29,-43.03,-546.11,-36.41,-423.36,-28.22,-429.75,-42.98,-0.53,22.2,0.9974,False,-116.35,17.5,0.6344,False,6.4,23.8,0.986,False,contra
combined,40,Mié,66,-662.59,-66.26,-959.58,-63.97,-870.7,-58.05,-424.86,-42.49,-237.73,21.2,0.0093,True,-534.71,15.2,0.0023,True,-445.84,18.2,0.0152,True,cortar
combined,40,Jue,61,-379.06,-37.91,-396.65,-26.44,-369.73,-24.65,-418.17,-41.82,39.11,27.9,0.7777,False,21.52,24.6,0.9445,False,48.44,29.5,0.856,False,contra
combined,40,Vie,62,-465.51,-46.55,-872.57,-58.17,-394.4,-26.29,-426.95,-42.7,-38.55,19.4,0.866,False,-445.62,11.3,0.0607,False,32.55,22.6,0.9503,False,contra
combined,50,Lun,51,-662.94,-66.29,-744.13,-49.61,-904.15,-60.28,-516.15,-51.62,-146.79,17.6,0.1991,False,-227.98,9.8,0.4426,False,-388.0,17.6,0.0947,False,cortar
combined,50,Mar,61,-476.9,-47.69,-454.25,-30.28,-520.36,-34.69,-524.24,-52.42,47.34,21.3,0.7789,False,69.99,14.8,0.8543,False,3.88,21.3,0.9911,False,reforzar
combined,50,Mié,64,-681.52,-68.15,-1019.79,-67.99,-837.49,-55.83,-515.17,-51.52,-166.35,18.8,0.0676,False,-504.62,15.6,0.0007,True,-322.32,17.2,0.1309,False,cortar
combined,50,Jue,53,-629.3,-62.93,-846.12,-56.41,-680.78,-45.38,-515.79,-51.58,-113.52,20.8,0.2956,False,-330.33,13.2,0.1155,False,-164.99,22.6,0.557,False,cortar
combined,50,Vie,56,-753.31,-75.33,-1216.66,-81.11,-954.35,-63.62,-524.72,-52.47,-228.59,16.1,0.0011,True,-691.93,10.7,0.0,True,-429.63,16.1,0.005,True,cortar
combined,60,Lun,48,-675.59,-67.56,-674.91,-44.99,-852.82,-56.86,-616.47,-61.65,-59.12,16.7,0.6237,False,-58.44,12.5,0.8627,False,-236.36,16.7,0.432,False,cortar
combined,60,Mar,54,-658.26,-65.83,-611.14,-40.74,-866.52,-57.77,-615.73,-61.57,-42.53,13.0,0.7573,False,4.58,11.1,0.9926,False,-250.8,13.0,0.2595,False,reforzar
combined,60,Mié,57,-814.44,-81.44,-1161.36,-77.42,-1085.15,-72.34,-616.68,-61.67,-197.76,10.5,0.0037,True,-544.68,7.0,0.0012,True,-468.48,12.3,0.0024,True,cortar
combined,60,Jue,51,-737.62,-73.76,-1095.26,-73.02,-841.89,-56.13,-614.58,-61.46,-123.04,19.6,0.1156,False,-480.68,15.7,0.0001,True,-227.31,17.6,0.2832,False,cortar
combined,60,Vie,54,-801.94,-80.19,-1265.3,-84.35,-978.45,-65.23,-618.03,-61.8,-183.91,16.7,0.002,True,-647.27,7.4,0.0,True,-360.42,16.7,0.0235,True,cortar
leg,20,Lun,68,-235.41,-23.54,-384.57,-25.64,-327.13,-21.81,-178.5,-17.85,-56.91,8.8,0.6479,False,-206.07,8.8,0.4671,False,-148.63,27.9,0.3043,False,cortar
leg,20,Mar,76,50.45,5.04,26.69,1.78,46.49,3.1,60.15,6.01,-9.69,14.5,0.9361,False,-33.45,14.5,0.9065,False,-13.66,22.4,0.9452,False,cortar
leg,20,Mié,75,-382.88,-38.29,-605.14,-40.34,-598.56,-39.9,-222.78,-22.28,-160.1,10.7,0.0299,True,-382.35,10.7,0.0438,True,-375.78,17.3,0.0004,True,cortar
leg,20,Jue,74,192.91,19.29,574.82,38.32,84.74,5.65,-138.58,-13.86,331.49,20.3,0.097,False,713.4,20.3,0.1157,False,223.32,33.8,0.2775,False,reforzar
leg,20,Vie,70,16.34,1.63,170.01,11.33,-142.72,-9.52,-108.74,-10.87,125.08,10.0,0.6095,False,278.75,10.0,0.642,False,-33.98,20.0,0.8929,False,reforzar
leg,30,Lun,68,-235.41,-23.54,-363.94,-24.26,-336.17,-22.41,-194.21,-19.42,-41.2,7.4,0.7413,False,-169.73,7.4,0.5765,False,-141.96,27.9,0.3235,False,cortar
leg,30,Mar,76,50.45,5.04,69.36,4.62,-32.31,-2.15,32.5,3.25,17.95,15.8,0.8806,False,36.86,15.8,0.9015,False,-64.81,23.7,0.7085,False,reforzar
