ticker,fecha,dow,nivel,umbral_pct,hora_cruce,bucket,min_a_cierre,pierna_perdedora,roi_comb_t,roi_call_t,roi_put_t,ask_perdedora_t,ask_opuesta_t,ejecutable,pnl_hold,pnl_reforzar,pnl_contra,pnl_cortar,pct_hold,pct_reforzar,pct_contra,pct_cortar,call_occ,put_occ,nbbo_ok,hora_entrada
QQQ,2026-01-02,Vie,combined,20,09:57,09:30-10:30,358,PUT,-20.51,-7.69,-33.33,0.25,0.49,True,4736.11,12496.11,4236.11,-205.13,473.61,833.07,282.41,-20.51,O:QQQ260102C00623000,O:QQQ260102P00617000,True,09:30
QQQ,2026-01-02,Vie,combined,30,10:07,09:30-10:30,348,CALL,-31.41,-46.15,-16.67,0.29,0.31,True,4736.11,4236.11,10897.4,-314.1,473.61,282.41,726.49,-31.41,O:QQQ260102C00623000,O:QQQ260102P00617000,True,09:30
QQQ,2026-01-02,Vie,leg,20,09:32,09:30-10:30,383,CALL,-1.82,-48.08,44.44,0.28,0.53,True,4736.11,4236.11,8132.34,4995.73,473.61,282.41,542.16,499.57,O:QQQ260102C00623000,O:QQQ260102P00617000,True,09:30
QQQ,2026-01-02,Vie,leg,30,09:32,09:30-10:30,383,CALL,-1.82,-48.08,44.44,0.28,0.53,True,4736.11,4236.11,8132.34,4995.73,473.61,282.41,542.16,499.57,O:QQQ260102C00623000,O:QQQ260102P00617000,True,09:30
QQQ,2026-01-02,Vie,leg,40,09:32,09:30-10:30,383,CALL,-1.82,-48.08,44.44,0.28,0.53,True,4736.11,4236.11,8132.34,4995.73,473.61,282.41,542.16,499.57,O:QQQ260102C00623000,O:QQQ260102P00617000,True,09:30
QQQ,2026-01-02,Vie,leg,50,09:33,09:30-10:30,382,CALL,6.41,-53.85,66.67,0.25,0.61,True,4736.11,4236.11,7621.36,4966.88,473.61,282.41,508.09,496.69,O:QQQ260102C00623000,O:QQQ260102P00617000,True,09:30
QQQ,2026-01-02,Vie,leg,60,09:39,09:30-10:30,376,CALL,13.68,-61.54,88.89,0.21,0.69,True,4736.11,4236.11,7228.86,4928.42,473.61,282.41,481.92,492.84,O:QQQ260102C00623000,O:QQQ260102P00617000,True,09:30
SPY,2026-01-02,Vie,combined,20,09:47,09:30-10:30,368,CALL,-26.6,-31.58,-21.62,0.27,0.3,True,-54.05,-554.05,612.61,-266.0,-5.41,-36.94,40.84,-26.6,O:SPY260102C00688000,O:SPY260102P00683000,True,09:31
SPY,2026-01-02,Vie,combined,30,09:59,09:30-10:30,356,PUT,-32.04,-28.95,-35.14,0.25,0.28,True,-54.05,845.95,-554.05,-320.41,-5.41,56.4,-36.94,-32.04,O:SPY260102C00688000,O:SPY260102P00683000,True,09:31
SPY,2026-01-02,Vie,combined,40,14:34,13:30-15:55,81,CALL,-45.98,-97.37,5.41,0.02,0.4,True,-54.05,-554.05,320.95,-459.82,-5.41,-36.94,21.4,-45.98,O:SPY260102C00688000,O:SPY260102P00683000,True,09:31
