nivel,umbral_pct,bucket,n,ev_hold,evpct_hold,ev_reforzar,evpct_reforzar,ev_contra,evpct_contra,ev_cortar,evpct_cortar,delta_hold_vs_cortar,win_hold_vs_cortar,p_hold_vs_cortar,sig_hold_vs_cortar,delta_reforzar_vs_cortar,win_reforzar_vs_cortar,p_reforzar_vs_cortar,sig_reforzar_vs_cortar,delta_contra_vs_cortar,win_contra_vs_cortar,p_contra_vs_cortar,sig_contra_vs_cortar,mejor_rama
combined,20,TODAS,334,-300.4,-30.04,-442.17,-29.48,-335.02,-22.33,-237.82,-23.78,-62.59,24.6,0.4588,False,-204.36,20.4,0.1177,False,-97.21,23.7,0.5282,False,cortar
combined,20,09:30-10:30,279,-316.16,-31.62,-421.28,-28.09,-379.94,-25.33,-239.75,-23.97,-76.41,23.7,0.4239,False,-181.53,20.1,0.2323,False,-140.2,22.6,0.4168,False,cortar
combined,20,10:30-12:00,32,-120.4,-12.04,-455.33,-30.36,136.0,9.07,-221.71,-22.17,101.3,28.1,0.7144,False,-233.63,21.9,0.4459,False,357.71,31.2,0.5164,False,contra
combined,20,12:00-13:30,8,-106.91,-10.69,-423.0,-28.2,-49.78,-3.32,-235.25,-23.53,128.35,37.5,0.7284,False,-187.75,37.5,0.6293,False,185.47,25.0,0.7723,False,contra
combined,20,13:30-15:55,15,-494.54,-49.45,-812.91,-54.19,-656.48,-43.76,-237.64,-23.76,-256.9,26.7,0.0244,True,-575.27,13.3,0.0007,True,-418.83,26.7,0.0268,True,cortar
combined,30,TODAS,327,-351.92,-35.19,-566.97,-37.8,-321.59,-21.44,-330.05,-33.01,-21.86,25.1,0.7847,False,-236.92,20.2,0.0426,True,8.47,24.2,0.9572,False,contra
combined,30,09:30-10:30,224,-459.7,-45.97,-614.45,-40.96,-554.44,-36.96,-330.09,-33.01,-129.61,22.3,0.1474,False,-284.36,19.2,0.0562,False,-224.35,19.6,0.1954,False,cortar
combined,30,10:30-12:00,70,33.34,3.33,-305.01,-20.33,513.92,34.26,-323.55,-32.36,356.89,31.4,0.126,False,18.54,25.7,0.943,False,837.46,35.7,0.0766,False,contra
combined,30,12:00-13:30,11,-18.67,-1.87,-500.13,-33.34,231.88,15.46,-326.8,-32.68,308.13,45.5,0.3335,False,-173.33,27.3,0.5742,False,558.68,45.5,0.3221,False,contra
combined,30,13:30-15:55,22,-646.9,-64.69,-950.54,-63.37,-885.92,-59.06,-352.01,-35.2,-294.89,22.7,0.0011,True,-598.53,9.1,0.0001,True,-533.91,22.7,0.0009,True,cortar
combined,40,TODAS,309,-474.64,-47.46,-700.11,-46.67,-481.54,-32.1,-425.11,-42.51,-49.52,23.3,0.492,False,-275.0,17.2,0.0103,True,-56.43,23.9,0.721,False,cortar
combined,40,09:30-10:30,155,-533.92,-53.39,-675.15,-45.01,-630.2,-42.01,-425.39,-42.54,-108.54,19.4,0.3092,False,-249.76,16.1,0.1469,False,-204.81,18.7,0.3822,False,cortar
combined,40,10:30-12:00,105,-435.5,-43.55,-767.27,-51.15,-348.44,-23.23,-420.43,-42.04,-15.07,23.8,0.9025,False,-346.83,18.1,0.0233,True,71.99,24.8,0.7906,False,contra
combined,40,12:00-13:30,19,-64.23,-6.42,-129.92,-8.66,295.5,19.7,-429.46,-42.95,365.24,31.6,0.3452,False,299.54,31.6,0.6114,False,724.96,36.8,0.3869,False,contra
combined,40,13:30-15:55,30,-565.19,-56.52,-955.11,-63.67,-671.46,-44.77,-437.3,-43.73,-127.89,36.7,0.1354,False,-517.81,10.0,0.0,True,-234.16,40.0,0.1656,False,cortar
combined,50,TODAS,285,-638.8,-63.88,-855.8,-57.05,-775.36,-51.69,-519.28,-51.93,-119.52,18.9,0.0213,True,-336.52,13.0,0.0024,True,-256.08,18.9,0.0244,True,cortar
combined,50,09:30-10:30,87,-731.51,-73.15,-910.15,-60.68,-965.17,-64.34,-520.98,-52.1,-210.53,10.3,0.0111,True,-389.17,10.3,0.0496,True,-444.19,11.5,0.024,True,cortar
combined,50,10:30-12:00,128,-585.0,-58.5,-752.34,-50.16,-672.59,-44.84,-516.33,-51.63,-68.68,20.3,0.4642,False,-236.01,14.8,0.2324,False,-156.26,18.8,0.4366,False,cortar
combined,50,12:00-13:30,34,-586.88,-58.69,-911.88,-60.79,-666.28,-44.42,-513.5,-51.35,-73.39,23.5,0.5603,False,-398.38,14.7,0.0776,False,-152.78,26.5,0.5617,False,cortar
combined,50,13:30-15:55,36,-655.04,-65.51,-1039.38,-69.29,-785.08,-52.34,-531.11,-53.11,-123.94,30.6,0.0708,False,-508.27,11.1,0.0,True,-253.97,30.6,0.079,False,cortar
combined,60,TODAS,264,-739.85,-73.99,-968.86,-64.59,-929.37,-61.96,-616.32,-61.63,-123.53,15.2,0.0039,True,-352.54,10.6,0.0052,True,-313.06,15.2,0.0008,True,cortar
combined,60,09:30-10:30,35,-786.71,-78.67,-649.1,-43.27,-1220.07,-81.34,-616.99,-61.7,-169.71,11.4,0.0912,False,-32.11,11.4,0.943,False,-603.07,11.4,0.0,True,cortar
